frame,id,x1,y1,x2,y2
0,1,794,470,864,566
0,2,431,160,467,227
0,3,839,187,873,247
0,4,392,422,457,500
0,5,140,266,190,347
0,6,1086,345,1137,443
0,7,704,82,733,128
0,8,887,124,913,177
0,9,370,154,405,217
0,10,721,195,757,262
0,11,1134,253,1181,338
0,12,1239,146,1269,210
0,13,532,428,581,520
0,14,559,94,582,145
0,15,568,51,597,90
0,16,638,221,662,296
0,17,494,430,540,519
0,18,490,508,506,521
0,19,639,220,662,295
1,1,804,467,874,562
1,2,443,160,480,227
1,3,850,187,878,248
1,4,403,421,461,498
1,5,154,265,204,347
1,6,1088,344,1149,440
1,7,718,83,745,128
1,8,899,125,923,177
1,9,382,155,419,216
1,10,732,194,761,262
1,11,1148,255,1187,340
1,12,1252,147,1280,211
1,13,529,428,579,518
1,14,570,95,596,145
1,15,582,51,609,90
1,16,497,432,537,520
1,17,508,430,536,520
1,18,804,467,845,555
1,19,650,221,672,296
2,1,813,465,883,559
2,2,455,160,494,227
2,3,862,187,891,249
2,4,415,418,460,499
2,5,164,264,215,347
2,6,1085,344,1158,439
2,7,732,83,756,128
2,8,912,125,933,176
2,9,396,155,431,216
2,10,741,194,771,263
2,11,1158,256,1192,340
2,12,1266,153,1280,213
2,13,533,429,574,517
2,14,579,95,610,146
2,15,595,52,622,90
2,16,499,432,539,513
2,17,507,459,540,519
2,18,804,467,845,555
2,19,663,221,685,297
3,1,822,463,889,551
3,2,468,161,507,226
3,3,873,185,904,248
3,4,426,417,466,499
3,5,173,265,226,347
3,6,1083,343,1134,439
3,7,745,83,765,127
3,8,924,125,945,176
3,9,410,154,444,216
3,10,752,192,783,264
3,11,1168,257,1195,340
3,12,1266,153,1280,213
3,13,533,429,574,515
3,14,591,96,624,146
3,15,595,52,622,90
3,16,499,432,539,513
3,17,499,434,542,514
3,18,482,498,497,516
3,19,675,221,697,296
4,1,831,462,894,545
4,2,480,161,519,226
4,3,882,185,917,249
4,4,434,416,481,498
4,5,182,265,235,347
4,6,1086,344,1137,441
4,7,758,82,776,128
4,8,936,125,959,177
4,9,423,154,454,216
4,10,760,193,795,265
4,11,1174,257,1207,340
4,12,1266,153,1280,213
4,13,533,428,577,518
4,14,605,97,635,147
4,15,620,52,646,90
4,16,493,434,542,510
4,17,499,434,542,514
4,18,480,497,494,514
4,19,684,222,711,298
5,1,839,460,897,547
5,2,493,160,529,226
5,3,889,185,928,248
5,4,431,414,493,499
5,5,192,267,238,347
5,6,1097,347,1138,442
5,7,771,83,786,127
5,8,948,124,971,178
5,9,436,154,463,215
5,10,770,193,806,266
5,11,1182,256,1220,340
5,13,544,426,580,515
5,14,618,97,648,146
5,15,633,51,658,89
5,16,491,437,547,497
5,17,543,466,578,516
5,18,493,437,550,516
5,19,694,223,727,297
6,1,847,457,907,545
6,2,505,159,540,225
6,3,897,185,940,249
6,4,431,413,504,499
6,5,201,266,243,346
6,6,1110,348,1137,443
6,7,782,83,800,127
6,8,960,124,984,178
6,9,448,154,471,214
6,10,703,224,740,298
6,11,1191,255,1235,340
6,12,781,194,818,266
6,13,547,423,585,515
6,14,631,97,658,145
6,15,646,51,668,89
6,16,502,441,544,519
6,17,543,466,578,516
6,18,493,437,550,516
6,19,703,224,740,298
7,1,854,454,919,546
7,2,518,159,549,225
7,3,909,185,951,250
7,4,439,412,507,497
7,5,212,266,246,345
7,6,1115,348,1160,437
7,7,795,83,813,127
7,8,972,124,997,180
7,9,461,154,479,215
7,10,793,196,826,266
7,11,1197,255,1248,341
7,12,781,194,818,266
7,13,558,419,591,512
7,14,643,96,669,146
7,15,658,49,678,91
7,16,504,442,550,520
7,17,543,466,578,516
7,18,493,437,550,516
7,19,713,225,754,297
8,1,859,450,928,548
8,2,529,158,558,226
8,3,923,186,959,251
8,4,452,412,516,497
8,5,219,264,259,345
8,6,1123,367,1158,444
8,7,805,83,828,128
8,8,985,125,1009,180
